Class,Poisonous,Edible
cap-shape,[-1.01770565 -2.78388828 -6.28039584 -1.01770565 -1.55300802 -6.28039584],[-0.78510382 -2.4771846  -6.65157187 -1.10249579 -2.0768609  -6.65157187]
cap-surface,[-1.0139533  -0.66717169 -2.10225622 -6.27664349],[-1.03951275 -0.98255786 -1.3066503  -6.64898455]
cap-color,"[-1.31112482 -1.89340941 -2.39603826 -1.89340941 -1.2064542  -6.28785856
 -3.45464522 -6.28785856 -6.28785856 -6.28785856]","[-1.17192959 -2.76490623 -1.57532216 -1.31439227 -2.26227737 -6.65672652
 -3.82351318 -6.65672652 -3.82351318 -6.65672652]"
bruises,[-1.54548919 -0.23979078],[-0.40611467 -1.09731443]
odor,"[-2.3941778  -6.28599809 -6.28599809 -2.78949053 -0.56568632 -3.45278475
 -2.11161082 -2.11161082 -6.28599809]","[-6.65544035 -2.08072937 -2.2609912  -0.27024595 -6.65544035 -6.65544035
 -6.65544035 -6.65544035 -6.65544035]"
gill-attachment,[-1.88857469e-03 -6.27287701e+00],[-0.04380262 -3.14988295]
gill-spacing,[-1.88857469e-03 -6.27287701e+00],[-0.37540208 -1.16159358]
gill-size,[-0.45279408 -1.01018682],[-3.14988295 -0.04380262]
gill-color,"[-3.4583558  -3.4583558  -1.89711998 -1.89711998 -3.4583558  -2.39974884
 -3.4583558  -6.29156914 -0.74249305 -6.29156914 -6.29156914 -6.29156914]","[-3.16278636 -1.79948152 -1.9319061  -1.9319061  -1.79948152 -2.76747362
 -1.57788955 -3.82608058 -6.65929392 -6.65929392 -3.82608058 -3.82608058]"
stalk-shape,[-0.8567766  -0.55256523],[-0.82630758 -0.57565279]
stalk-root,[-2.38670113 -6.27852142 -0.93618717 -6.27852142 -0.66904963],[-1.92289123 -1.79046664 -0.83019612 -3.15377149 -1.56887468]
stalk-surface-above-ring,[-1.29990975 -2.38482319 -0.45656056 -6.27664349],[-0.18595509 -2.2545354  -2.75716425 -6.64898455]
stalk-surface-below-ring,[-0.79184656 -2.78013593 -3.44343015 -0.79184656],[-0.2112329  -2.47459728 -3.15247699 -2.75716425]
stalk-color-above-ring,"[-0.6765263  -6.28599809 -1.20459373 -2.78949053 -2.11161082 -6.28599809
 -6.28599809 -6.28599809 -6.28599809]","[-0.41516451 -2.08072937 -1.92805253 -6.65544035 -6.65544035 -3.82222701
 -3.15893279 -6.65544035 -6.65544035]"
stalk-color-below-ring,"[-0.80120116 -1.10984836 -6.28599809 -2.3941778  -2.3941778  -6.28599809
 -3.45278475 -6.28599809 -6.28599809]","[-0.38445192 -2.08072937 -2.48105308 -6.65544035 -3.82222701 -3.15893279
 -6.65544035 -3.15893279 -6.65544035]"
veil-type,[0.],[0.]
veil-color,[-5.65505748e-03 -6.27664349e+00 -6.27664349e+00 -6.27664349e+00],[-0.04639666 -6.64898455 -3.15247699 -6.64898455]
ring-number,[-0.03448618 -3.44154868 -6.27476202],[-0.18465892 -1.78787597 -6.64768837]
ring-type,[-1.41870902 -0.66904963 -1.41870902 -6.27852142 -6.27852142],[-0.23846078 -1.56887468 -6.65027905 -6.65027905 -6.65027905]
spore-print-color,"[-2.78949053 -2.78949053 -6.28599809 -1.10984836 -0.6765263  -3.45278475
 -6.28599809 -6.28599809 -6.28599809]","[-0.93512857 -0.93512857 -6.65544035 -6.65544035 -1.67870661 -6.65544035
 -6.65544035 -3.82222701 -6.65544035]"
population,[-2.78388828 -6.28039584 -6.28039584 -0.28643441 -1.70568486 -6.28039584],[-1.38888168 -1.79175947 -3.81835853 -1.67483813 -1.16677494 -2.75975158]
habitat,"[-2.39044645 -1.70755577 -3.4490534  -1.70755577 -1.10611701 -6.28226675
 -1.70755577]","[-6.65286303 -1.10378694 -2.25841387 -0.88142191 -3.15635547 -3.15635547
 -2.76104273]"
